customer_id,triggered_rules,rule_count,risk_score,risk_tier,alert_reason
C0071,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0015,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0065,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0093,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0085,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0078,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0062,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0044,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0034,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0046,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0021,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0009,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0029,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0051,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0094,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0098,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0018,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0006,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0019,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0048,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0081,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0096,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0058,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0068,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0032,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0040,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0027,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0089,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0056,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0031,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0077,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0086,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0100,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0026,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
C0080,shared_device_multi_account,1,15,Low,3개 이상 계정이 공유하는 단말기 사용
